,constant_hash,first_char_hash,length_hash,sum_hash,left_shift_hash,right_shift_hash,murmur_hash
0,0,211,0,159,131,145,146
1,1784,69,9,130,133,144,131
2,0,100,29,142,137,154,153
3,0,52,95,149,139,144,154
4,0,17,278,149,152,134,160
5,0,24,395,161,146,139,157
6,0,79,420,140,166,147,119
7,0,94,385,134,131,142,157
8,0,43,250,157,149,127,136
9,0,42,150,146,140,152,154
10,0,141,83,152,137,124,142
11,0,13,48,135,152,128,163
12,0,213,10,150,153,155,132
13,0,393,4,136,151,149,134
14,0,275,0,133,139,145,135
15,0,193,1,161,145,147,149
16,0,103,0,121,141,143,141
