bucket_id,size
0,2
1,4
2,1
3,4
4,1
5,1
6,2
7,2
8,0
9,0
10,2
11,3
12,0
13,0
14,1
15,2
16,3
17,0
18,2
19,1
20,0
21,1
22,2
23,0
24,2
25,3
26,1
27,3
28,0
29,0
30,1
31,0
32,1
33,0
34,2
35,0
36,2
37,6
38,2
39,2
40,1
41,2
42,2
43,2
44,3
45,1
46,4
47,2
48,1
49,0
50,2
51,1
52,0
53,0
54,0
55,0
56,0
57,4
58,2
59,1
60,0
61,4
62,0
63,3
64,0
65,1
66,2
67,1
68,1
69,0
70,0
71,3
72,1
73,2
74,2
75,1
76,3
77,6
78,0
79,0
80,0
81,3
82,0
83,0
84,3
85,0
86,0
87,4
88,0
89,0
90,3
91,6
92,3
93,1
94,0
95,2
96,0
97,2
98,2
99,0
100,2
101,0
102,5
103,2
104,4
105,2
106,4
107,0
108,2
109,1
110,0
111,0
112,5
113,0
114,3
115,3
116,3
117,4
118,3
119,0
120,0
121,2
122,0
123,4
124,0
125,3
126,0
127,1
128,0
129,1
130,5
131,2
132,2
133,3
134,3
135,1
136,1
137,1
138,2
139,3
140,3
141,0
142,0
143,2
144,2
145,0
146,3
147,2
148,5
149,1
150,1
151,0
152,0
153,4
154,1
155,0
156,5
157,1
158,0
159,0
160,3
161,1
162,2
163,1
164,3
165,3
166,3
167,0
168,0
169,7
170,0
171,2
172,3
173,2
174,1
175,1
176,1
177,3
178,4
179,0
180,2
181,5
182,0
183,2
184,0
185,5
186,0
187,0
188,1
189,3
190,2
191,0
192,2
193,3
194,2
195,0
196,0
197,2
198,3
199,0
200,3
201,2
202,0
203,1
204,1
205,1
206,1
207,2
208,3
209,6
210,4
211,0
212,0
213,1
214,1
215,3
216,2
217,2
218,1
219,0
220,1
221,0
222,1
223,0
224,2
225,3
226,3
227,2
228,0
229,4
230,0
231,0
232,2
233,2
234,5
235,1
236,2
237,9
238,3
239,1
240,4
241,3
242,2
243,2
244,0
245,1
246,1
247,3
248,3
249,0
250,4
251,4
252,4
253,2
254,3
255,2
256,2
257,0
258,5
259,0
260,0
261,5
262,2
263,0
264,0
265,2
266,3
267,2
268,0
269,2
270,1
271,2
272,1
273,1
274,1
275,2
276,1
277,2
278,2
279,3
280,2
281,0
282,1
283,2
284,0
285,5
286,2
287,0
288,0
289,3
290,4
291,3
292,3
293,0
294,0
295,2
296,1
297,2
298,0
299,0
300,4
301,2
302,4
303,1
304,2
305,0
306,0
307,2
308,2
309,2
310,1
311,2
312,0
313,3
314,0
315,5
316,2
317,0
318,0
319,4
320,3
321,3
322,1
323,0
324,4
325,2
326,2
327,0
328,1
329,1
330,1
331,0
332,3
333,3
334,2
335,0
336,0
337,1
338,0
339,1
340,3
341,6
342,2
343,2
344,0
345,2
346,1
347,1
348,3
349,0
350,2
351,0
352,0
353,2
354,3
355,2
356,2
357,2
358,2
359,1
360,1
361,0
362,4
363,3
364,1
365,0
366,4
367,2
368,2
369,0
370,2
371,2
372,0
373,1
374,0
375,3
376,4
377,4
378,0
379,3
380,0
381,2
382,2
383,2
384,1
385,4
386,2
387,1
388,0
389,0
390,2
391,0
392,5
393,2
394,4
395,4
396,1
397,0
398,2
399,0
400,1
401,6
402,3
403,2
404,2
405,2
406,2
407,0
408,3
409,2
410,0
411,1
412,0
413,2
414,2
415,2
416,2
417,2
418,3
419,2
420,3
421,2
422,0
423,0
424,0
425,2
426,2
427,3
428,3
429,5
430,1
431,6
432,2
433,0
434,4
435,2
436,5
437,0
438,0
439,2
440,2
441,2
442,1
443,1
444,1
445,2
446,0
447,0
448,1
449,0
450,0
451,4
452,0
453,1
454,0
455,1
456,2
457,1
458,0
459,3
460,3
461,0
462,5
463,0
464,4
465,1
466,2
467,0
468,2
469,2
470,2
471,1
472,5
473,2
474,2
475,0
476,2
477,1
478,0
479,0
480,0
481,2
482,2
483,1
484,2
485,2
486,0
487,1
488,2
489,1
490,1
491,2
492,0
493,1
494,0
495,0
496,2
497,4
498,0
499,2
500,1
501,3
502,2
503,3
504,1
505,0
506,3
507,1
508,0
509,0
510,3
511,5
512,2
513,0
514,2
515,0
516,0
517,0
518,1
519,1
520,1
521,2
522,2
523,2
524,1
525,0
526,1
527,0
528,1
529,2
530,0
531,0
532,3
533,1
534,0
535,0
536,0
537,0
538,0
539,5
540,0
541,6
542,2
543,1
544,1
545,2
546,0
547,1
548,0
549,2
550,2
551,1
552,2
553,3
554,3
555,3
556,1
557,2
558,1
559,1
560,3
561,0
562,3
563,0
564,0
565,3
566,2
567,2
568,1
569,4
570,4
571,3
572,1
573,2
574,1
575,4
576,0
577,0
578,2
579,2
580,2
581,3
582,0
583,0
584,0
585,1
586,3
587,0
588,1
589,3
590,0
591,2
592,2
593,1
594,3
595,0
596,2
597,0
598,2
599,1
600,0
601,3
602,4
603,1
604,0
605,2
606,0
607,2
608,1
609,1
610,0
611,2
612,3
613,2
614,0
615,1
616,3
617,0
618,2
619,2
620,0
621,0
622,1
623,2
624,1
625,0
626,1
627,0
628,1
629,2
630,4
631,1
632,0
633,0
634,4
635,0
636,0
637,0
638,2
639,3
640,3
641,4
642,3
643,3
644,0
645,3
646,1
647,2
648,2
649,2
650,2
651,0
652,0
653,2
654,0
655,0
656,1
657,2
658,0
659,0
660,5
661,0
662,2
663,0
664,0
665,0
666,0
667,2
668,3
669,3
670,1
671,2
672,3
673,2
674,2
675,3
676,0
677,4
678,3
679,2
680,2
681,3
682,4
683,0
684,2
685,3
686,1
687,0
688,0
689,2
690,3
691,2
692,3
693,5
694,0
695,2
696,0
697,1
698,1
699,1
700,1
701,3
702,2
703,3
704,3
705,2
706,3
707,3
708,1
709,0
710,0
711,3
712,2
713,0
714,2
715,1
716,6
717,1
718,0
719,4
720,1
721,1
722,1
723,1
724,1
725,1
726,4
727,1
728,1
729,3
730,1
731,2
732,0
733,3
734,3
735,2
736,0
737,0
738,1
739,4
740,3
741,2
742,0
743,2
744,4
745,1
746,1
747,0
748,3
749,2
750,0
751,3
752,3
753,3
754,1
755,0
756,1
757,0
758,1
759,0
760,1
761,3
762,3
763,0
764,3
765,1
766,1
767,0
768,0
769,1
770,0
771,1
772,1
773,4
774,1
775,1
776,2
777,3
778,0
779,1
780,0
781,0
782,3
783,2
784,1
785,4
786,0
787,4
788,0
789,1
790,3
791,4
792,2
793,0
794,4
795,1
796,1
797,2
798,1
799,1
800,2
801,0
802,2
803,2
804,2
805,1
806,0
807,1
808,0
809,3
810,4
811,0
812,0
813,0
814,3
815,2
816,2
817,3
818,0
819,5
820,1
821,2
822,0
823,1
824,1
825,1
826,2
827,3
828,1
829,1
830,2
831,1
832,2
833,0
834,2
835,1
836,7
837,4
838,0
839,2
840,4
841,2
842,2
843,4
844,2
845,3
846,2
847,2
848,2
849,2
850,3
851,0
852,3
853,2
854,2
855,0
856,4
857,0
858,2
859,1
860,2
861,1
862,1
863,3
864,2
865,0
866,4
867,2
868,1
869,5
870,1
871,4
872,4
873,2
874,3
875,0
876,0
877,3
878,0
879,0
880,0
881,0
882,1
883,3
884,0
885,2
886,1
887,0
888,2
889,6
890,0
891,1
892,0
893,3
894,1
895,2
896,4
897,2
898,6
899,1
900,1
901,3
902,2
903,0
904,5
905,0
906,0
907,3
908,1
909,3
910,0
911,3
912,0
913,3
914,4
915,1
916,0
917,2
918,1
919,2
920,1
921,1
922,3
923,0
924,2
925,0
926,1
927,2
928,2
929,0
930,0
931,1
932,1
933,2
934,3
935,2
936,3
937,0
938,0
939,1
940,2
941,1
942,1
943,2
944,0
945,3
946,4
947,2
948,0
949,0
950,2
951,4
952,0
953,2
954,1
955,4
956,0
957,0
958,0
959,0
